##################################
#                                #
# Voto Rousseau Governo M5S+PD   #
#                                #
##################################

######################
# Esito 0: Voto NO   #
# Esito 1: Voto SI   #
# Verificato 0: NO   #
# Verificato 1: SI   #
# Confidence: 0.5/1  #
######################

# Esito Verificato Confidence
1 1 1 
1 1 1
1 0 0.5
1 1 1 
1 0 0.5
1 1 1
1 1 1
1 0 1
1 0 1
1 1 1
1 0 0.5
1 0 0.5
1 0 1
1 0 1
1 1 1
1 1 1
1 1 1
1 0 1
1 0 1
1 1 1
1 0 0.5
1 1 1
1 0 1
1 1 1
1 0 1
1 1 1
1 0 1
1 1 1
1 1 1
1 0 0.5
1 1 1
1 0 1
1 1 1
1 1 1
1 0 1
1 1 1
1 0 1
1 1 1

0 0 1
0 0 1
0 0 1
0 0 0.5
0 0 1
0 1 1
0 0 1
0 1 1
0 1 1
0 1 1
0 0 0.5
0 1 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 1 1
0 0 1
0 0 1
0 0 1
0 0 1
0 1 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 0.5
0 0 0.5
0 0 0.5
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 1 1
0 1 1
0 1 1
0 0 1
0 0 1
0 0 1
0 1 1
0 1 1


